time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T10:28:05.400Z,36.183,-120.144,11.8,1.8,Md,,151.2,0.12576414,0.21,nc,nc71945650,2013-03-01T17:38:58.596Z,"4km WSW of Huron, California",earthquake
2013-02-28T10:24:54.400Z,38.816,-122.7695,0.7,1,Md,,36,0.00898315,0.07,nc,nc71945635,2013-03-07T00:20:31.743Z,"4km W of Cobb, California",earthquake
2013-02-28T10:11:26.400Z,36.0442,-120.6192,5.8,1.9,Md,,36,0.06288207,0.12,nc,nc71945620,2013-03-01T01:57:51.743Z,"25km WSW of Coalinga, California",earthquake
2013-02-28T09:35:46.438Z,38.3334,-118.1429,6.9308,1.34,ml,9,190,0.1,0.084,nn,nn00404480,2013-02-28T20:22:14.204Z,"47km ESE of Hawthorne, Nevada",earthquake
2013-02-28T09:35:11.300Z,38.8167,-122.815,2.7,1,Md,,43.2,0.00898315,0.07,nc,nc71945600,2013-03-07T00:01:54.514Z,"8km W of Cobb, California",earthquake
2013-02-28T09:15:08.000Z,62.8562,-150.729,97.9,1.8,Ml,32,54,0.51024308,0.49,ak,ak10663256,2013-03-02T00:32:46.587Z,"67km NNW of Talkeetna, Alaska",earthquake
2013-02-28T08:56:49.000Z,61.8231,-150.8744,66.7,1.7,Ml,27,68.4,0.36471601,0.35,ak,ak10663253,2013-03-02T00:32:46.553Z,"44km W of Willow, Alaska",earthquake
2013-02-28T08:41:18.000Z,63.2628,-149.7223,97.7,1.2,Ml,17,64.8,0.28835921,0.39,ak,ak10665607,2013-03-02T00:32:48.195Z,"41km WSW of Cantwell, Alaska",earthquake
2013-02-28T08:21:47.000Z,63.3229,-145.2487,0.5,1,Ml,11,61.2,0.25332491,0.46,ak,ak10663248,2013-03-02T00:32:46.537Z,"61km S of Deltana, Alaska",earthquake
2013-02-28T08:10:18.920Z,53.5454,-165.9048,38.42,3.8,mb,59,157,0.47,1.98,us,usc000fe9u,2013-03-02T00:32:46.623Z,"55km SE of Unalaska, Alaska",earthquake
2013-02-28T08:10:18.900Z,53.545,-165.905,38.4,3.8,Mb,57,158.4,0.46981889,1.98,us,us2013meag,2013-06-10T21:28:52.344Z,"55km SE of Unalaska, Alaska",earthquake
2013-02-28T07:58:12.900Z,33.6832,-116.7905,19.6,1,Ml,,54,0.07186522,0.14,ci,ci11250010,2013-02-28T20:48:42.427Z,"9km SW of Idyllwild-Pine Cove, California",earthquake
2013-02-28T07:51:22.024Z,38.9975,-118.367,9.661,2.11,ml,12,87,0.197,0.0858,nn,nn00404479,2013-03-01T00:03:08.434Z,"41km WNW of Gabbs, Nevada",earthquake
2013-02-28T07:47:35.000Z,63.3207,-145.2357,2.1,1.5,Ml,20,57.6,0.26051143,0.64,ak,ak10663236,2013-03-02T00:32:45.952Z,"61km S of Deltana, Alaska",earthquake
2013-02-28T07:37:07.000Z,61.2599,-146.8269,23.3,1.6,Ml,18,57.6,0.23266366,0.56,ak,ak10663231,2013-03-02T00:32:45.868Z,"29km WNW of Valdez, Alaska",earthquake
2013-02-28T07:33:55.600Z,46.6015,-119.8645,7,1.7,Md,,64.8,0.04491576,0.14,uw,uw60507916,2013-02-28T22:17:26.559Z,"9km SSE of Desert Aire, Washington",earthquake
2013-02-28T07:20:28.700Z,38.8365,-122.7773,2.6,1.1,Md,,32.4,0.00898315,0.06,nc,nc71945550,2013-03-06T22:55:26.626Z,"4km WNW of Cobb, California",earthquake
2013-02-28T06:56:14.000Z,62.6054,-150.3991,81.4,1.2,Ml,13,126,0.27937605,0.49,ak,ak10665602,2013-03-02T00:32:48.183Z,"34km NNW of Talkeetna, Alaska",earthquake
2013-02-28T05:43:45.600Z,19.5272,-64.4885,109,3.4,Md,15,266.4,0.80668713,0.28,pr,pr13059002,2013-02-28T07:10:57.930Z,"123km N of Road Town, British Virgin Islands",earthquake
2013-02-28T05:42:27.000Z,66.9145,-156.9468,18.5,3.5,Ml,38,100.8,1.55228881,0.73,ak,ak10663214,2013-03-02T00:32:46.613Z,"2km WNW of Kobuk, Alaska",earthquake
2013-02-28T05:32:46.000Z,51.5099,-178.2162,30.2,2,Ml,9,241.2,0.34135981,0.4,ak,ak10665599,2013-03-02T00:32:47.149Z,"41km S of Tanaga Volcano, Alaska",earthquake
2013-02-28T05:21:12.000Z,60.3965,-147.6471,2.6,1.5,Ml,12,162,0.55156558,0.52,ak,ak10665598,2013-03-02T00:32:47.134Z,"70km SE of Whittier, Alaska",earthquake
2013-02-28T05:17:05.400Z,33.185,-115.6517,4.7,1.1,Ml,,284.4,0.01796631,0.23,ci,ci11249986,2013-02-28T20:30:35.244Z,"13km WSW of Niland, California",earthquake
2013-02-28T05:14:27.400Z,36.2418,-120.7987,7.4,1.4,Md,,144,0.02694946,0.09,nc,nc71945485,2013-03-07T01:54:42.930Z,"29km E of King City, California",earthquake
